grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid
Y2020_LAT23.52482_LON90.15502,2020,90.15502415698468,23.524824690620612,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.08778755969238282,87787.55969238281
Y2020_LAT23.525_LON90.16481,2020,90.16480821194499,23.52500333582075,0.009140408330966156,0.04178470651365985,0.13362430237387274,0.8154505827815013,0.0,0.0,4,0,0,0,1,0,0,0,0.4589164562301636,458916.4562301636
Y2020_LAT23.52518_LON90.17459,2020,90.17459236327528,23.5251813673849,0.2541175651461815,0.1004199889579183,0.6383588031468536,0.0019373592660268924,0.00516628348301978,0.0,3,0,0,1,0,0,0,0,0.30931080532836913,309310.80532836914
Y2020_LAT23.53385_LON90.15483,2020,90.15483003468516,23.533846342091746,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.6275947598571777,627594.7598571777
Y2020_LAT23.53403_LON90.16461,2020,90.16461475513425,23.53402506394596,0.19920067274333564,0.028000123156485927,0.2186009192360676,0.5195984421903196,0.0,0.03459984267379126,4,0,0,0,1,0,0,0,0.9987303644256592,998730.3644256592
Y2020_LAT23.5342_LON90.1744,2020,90.17439957193227,23.534203171844304,0.6743111590826116,0.07607487651959641,0.2248068162795439,0.024807148118248072,0.0,0.0,1,1,0,0,0,0,0,0,0.9058607890777588,905860.7890777588
Y2020_LAT23.53438_LON90.18418,2020,90.18418448473497,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.016579294891357423,16579.294891357422
Y2020_LAT23.54269_LON90.14485,2020,90.14485052638558,23.542688569006817,0.0,0.0,0.0,0.9995370396679352,0.0,0.0004629603320648522,4,0,0,0,1,0,0,0,0.21572049773406982,215720.49773406982
Y2020_LAT23.54287_LON90.15464,2020,90.15463581577698,23.542867981597322,0.08040708811900817,0.0049291739329388636,0.0,0.9102480351570391,0.0,0.004415702791013899,4,0,0,0,1,0,0,0,0.9725498642349243,972549.8642349243
Y2020_LAT23.54305_LON90.16442,2020,90.16442120199689,23.543046780077745,0.6483005597180881,0.2195000077561663,0.007700046991724765,0.11319945328214777,0.0,0.011299932251873092,1,1,0,0,0,0,0,0,0.9987303672103882,998730.3672103882
Y2020_LAT23.54322_LON90.17421,2020,90.17420668451803,23.54322496427895,0.6667988187045425,0.03350001534803343,0.29930116591035383,0.0004000000370704632,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446240844726,998744.6240844727
Y2020_LAT23.5434_LON90.18399,2020,90.18399226315104,23.543402534303326,0.5834119341878803,0.062205535351797354,0.3543825304603224,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.21193544891357421,211935.44891357422
Y2020_LAT23.55153_LON90.13487,2020,90.13486968623559,23.551530015836853,0.0,0.16892732151877243,0.011097418093726885,0.8076447889311335,0.0,0.012330471456367191,4,0,0,0,1,0,0,0,0.08099400813293457,80994.00813293457
