grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid
Y2024_LAT23.52482_LON90.15502,2024,90.1550241570054,23.524824690602465,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.08778755969238282,87787.55969238281
Y2024_LAT23.525_LON90.16481,2024,90.1648082119649,23.525003335839628,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.4589164562301636,458916.4562301636
Y2024_LAT23.52518_LON90.17459,2024,90.17459236325458,23.525181367403054,0.3816606452216209,0.4010327372647226,0.11785598980311776,0.08782650277395111,0.0,0.011624124936587753,2,0,1,0,0,0,0,1,0.30931080532836913,309310.80532836914
Y2024_LAT23.53385_LON90.15483,2024,90.15483003470506,23.53384634211063,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.6275947598495484,627594.7598495483
Y2024_LAT23.53403_LON90.16461,2024,90.16461475515497,23.534025063927817,0.209800906430417,0.0009000000481767064,0.0,0.7778990320887064,0.0,0.0114000614326999,4,0,0,0,1,0,0,0,0.9987303644256592,998730.3644256592
Y2024_LAT23.5342_LON90.1744,2024,90.17439957191237,23.534203171825425,0.8574420165902719,0.08831332165642011,0.024145529615631177,0.01907383518926545,0.0,0.011025296948411367,1,1,0,0,0,0,0,0,0.9058607890701293,905860.7890701294
Y2024_LAT23.53438_LON90.18418,2024,90.18418448473497,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.016579294891357423,16579.294891357422
Y2024_LAT23.54269_LON90.14485,2024,90.14485052640549,23.542688569025696,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.21572049773406982,215720.49773406982
Y2024_LAT23.54287_LON90.15464,2024,90.15463581577698,23.542867981597322,0.0740402390233185,0.005442632099717262,0.0,0.9205171288769642,0.0,0.0,4,0,0,0,1,0,0,0,0.972549864227295,972549.8642272949
Y2024_LAT23.54305_LON90.16442,2024,90.1644212020168,23.543046780096628,0.7395006524855635,0.13239984964821672,0.01080007146935006,0.11249943737513912,0.0,0.004799989021730574,1,1,0,0,0,0,0,0,0.9987303672103882,998730.3672103882
Y2024_LAT23.54322_LON90.17421,2024,90.17420668449734,23.543224964297092,0.6195988540911411,0.042400019237993684,0.3380011266708652,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446240844726,998744.6240844727
Y2024_LAT23.5434_LON90.18399,2024,90.18399226315104,23.543402534303326,0.6258248289484621,0.0,0.37417517105153786,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.21193544891357421,211935.44891357422
Y2024_LAT23.55153_LON90.13487,2024,90.13486968623477,23.551530015873873,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.08099400813293457,80994.00813293457
Y2024_LAT23.55171_LON90.14466,2024,90.1446555446026,23.551710119726966,0.0021034120606274417,0.0,0.0,0.9956824876811052,0.0,0.002214100258267288,4,0,0,0,1,0,0,0,0.9021277667770385,902127.7667770386
Y2024_LAT23.55189_LON90.15444,2024,90.15444150020963,23.551889609207137,0.4982005267181611,0.17610072260017573,0.00200001290463025,0.32109874363520746,0.0,0.0025999941418253995,1,1,0,0,0,0,0,1,0.9987160634460449,998716.0634460449
Y2024_LAT23.55207_LON90.16423,2024,90.16422755244805,23.552068484213372,0.6229004101182266,0.20509918398239815,0.17060039864105103,0.0014000072583242743,0.0,0.0,1,1,0,0,0,0,0,0,0.9987303698120117,998730.3698120117
Y2024_LAT23.55225_LON90.17401,2024,90.17401370108601,23.55224674483653,0.784819377697144,0.0,0.210637653612249,0.004542968690606958,0.0,0.0,1,1,0,0,0,0,0,0,0.9013664519577026,901366.4519577026
Y2024_LAT23.55242_LON90.1838,2024,90.18379994578027,23.552424390914943,0.41711972749038734,0.01222829192339906,0.480978152186858,0.08967382839935556,0.0,0.0,3,0,0,1,0,0,0,1,0.07350824320220947,73508.24320220947
Y2024_LAT23.55946_LON90.07596,2024,90.07595684999934,23.559457484428947,0.0,1.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0.10395469815063477,103954.69815063477
Y2024_LAT23.55964_LON90.08574,2024,90.08574278522664,23.55964135297958,0.0,0.8735995824514418,0.0,0.0,0.0,0.12640041754855824,2,0,1,0,0,0,0,0,0.06241312474822998,62413.12474822998
Y2024_LAT23.56055_LON90.13467,2024,90.1346739410854,23.560551477377906,0.0,0.026018449484135838,0.0,0.9477002810409096,0.0,0.026281269474954537,4,0,0,0,1,0,0,0,0.38000215110778807,380002.1511077881
Y2024_LAT23.56073_LON90.14446,2024,90.14446046595044,23.560731658431774,0.2892014019799942,0.016999897413428697,0.0,0.5981991492896523,0.0,0.09559955131692478,4,0,0,0,1,0,0,0,0.9987017121124268,998701.7121124268
Y2024_LAT23.56091_LON90.15425,2024,90.15424708780326,23.560911224833013,0.7782997524980453,0.02590007166035804,0.19580017584159667,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987160675735474,998716.0675735474
Y2024_LAT23.56109_LON90.16403,2024,90.16403380646625,23.561090176470476,0.7222001758774077,0.018899961624955875,0.2588998624976364,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987303740921021,998730.374092102
Y2024_LAT23.56127_LON90.17382,2024,90.17382062156541,23.561268513386995,0.5045996293518781,0.01960011682395825,0.47580025382416374,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446305694581,998744.630569458
Y2024_LAT23.56145_LON90.18361,2024,90.18360753279721,23.561446235584405,0.6755195752763918,0.17565671644004716,0.14868539632595817,0.0,0.00013831195760281384,0.0,1,1,0,0,0,0,0,0,0.7221016843185425,722101.6843185425
Y2024_LAT23.56162_LON90.19339,2024,90.1933945397836,23.561623342995592,0.31690819852148977,0.32778518944186963,0.34937384414254563,0.0,0.005932767894095009,0.0,3,0,0,1,0,0,0,1,0.6060551046066284,606055.1046066284
Y2024_LAT23.5618_LON90.20318,2024,90.20318164219123,23.561799835613527,0.29020202161698866,0.10689158468965933,0.602906393693352,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.21304068893432618,213040.68893432617
Y2024_LAT23.56811_LON90.05618,2024,90.05618410326446,23.568108726675845,0.0,0.0013297797214882397,0.0,0.9960106382804437,0.0,0.0026595819980680595,4,0,0,0,1,0,0,0,0.07509282682037353,75092.82682037354
Y2024_LAT23.56829_LON90.06597,2024,90.06597050581358,23.56829390350254,0.0,0.029926205908056513,0.0,0.7612811851569109,0.0,0.20879260893503257,4,0,0,0,1,0,0,0,0.4337858655395508,433785.8655395508
Y2024_LAT23.56848_LON90.07576,2024,90.07575700810392,23.56847846551177,0.0,0.5585740146212405,0.0,0.2733768548639751,0.0,0.16804913051478437,2,0,1,0,0,0,0,0,0.8788682603988648,878868.2603988647
Y2024_LAT23.56866_LON90.08554,2024,90.08554360972573,23.56866241285735,0.0,0.9682573436940719,0.0,0.0,0.0,0.03174265630592811,2,0,1,0,0,0,0,0,0.9437903206634521,943790.3206634521
Y2024_LAT23.56885_LON90.09533,2024,90.09533031066343,23.568845745324147,0.0,0.6858990847625234,0.0,0.3105149250424747,0.0,0.0035859901950019454,2,0,1,0,0,0,0,0,0.6126586168670655,612658.6168670654
Y2024_LAT23.56903_LON90.10512,2024,90.10511711033375,23.569028462994325,0.0,0.0,0.0,0.8657746876409789,0.0,0.13422531235902116,4,0,0,0,1,0,0,0,0.6346385269851684,634638.5269851685
Y2024_LAT23.56921_LON90.1149,2024,90.11490400839595,23.569210565833927,0.0,0.0,0.0,0.9746073018342046,0.0,0.02539269816579538,4,0,0,0,1,0,0,0,0.877021916267395,877021.916267395
Y2024_LAT23.56939_LON90.12469,2024,90.12469100461325,23.56939205385297,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.9181797448043824,918179.7448043823
Y2024_LAT23.56957_LON90.13448,2024,90.1344780985474,23.56957292697544,0.0,0.3524714490566289,0.0,0.4623587462988343,0.0,0.1851698046445368,4,0,0,0,1,0,0,1,0.9724219916381835,972421.9916381836
Y2024_LAT23.56975_LON90.14427,2024,90.1442652900815,23.569753185109537,0.4489017455183635,0.13139924177323392,0.0,0.33239944480421324,0.0,0.08729956790418934,1,1,0,0,0,0,0,1,0.9987017156448365,998701.7156448364
Y2024_LAT23.56993_LON90.15405,2024,90.15405257867346,23.56993282837941,0.834499399523739,0.0778001931116136,0.08770040736464742,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987160703735352,998716.0703735352
Y2024_LAT23.57011_LON90.16384,2024,90.16383996414751,23.570111856688687,0.4893002371465694,0.08650017797051952,0.4237995828447185,0.0004000020381925946,0.0,0.0,1,1,0,0,0,0,0,1,0.998730376991272,998730.376991272
Y2024_LAT23.57029_LON90.17363,2024,90.17362744588779,23.570290270041415,0.5255998177100265,0.153399881142025,0.2890001426000359,0.006800020400744701,0.025200138147168084,0.0,1,1,0,0,0,0,0,0,0.9987446329345703,998744.6329345703
Y2024_LAT23.57047_LON90.18342,2024,90.18341502396534,23.570468068373103,0.9644001076610903,0.026399870040115226,0.008900024404603331,0.0,0.0002999978941911675,0.0,1,1,0,0,0,0,0,0,0.9987588417053223,998758.8417053223
