grid_id,year,longitude,latitude,frac_built,frac_vegetation,frac_cropland,frac_water,frac_wetland,frac_bare,dominant_class,oh_built,oh_vegetation,oh_cropland,oh_water,oh_wetland,oh_bare,mixed_flag,valid_obs_ratio,a_valid
Y2023_LAT23.52482_LON90.15502,2023,90.15502415698468,23.524824690620612,0.0,0.0,0.0,0.39249088037180224,0.0,0.6075091196281978,6,0,0,0,0,0,1,0,0.08778755969238282,87787.55969238281
Y2023_LAT23.525_LON90.16481,2023,90.16480821194499,23.52500333582075,0.0,0.0,0.0,0.6805232555098212,0.0,0.3194767444901789,4,0,0,0,1,0,0,0,0.4589164562301636,458916.4562301636
Y2023_LAT23.52518_LON90.17459,2023,90.17459236327528,23.5251813673849,0.36713045289700846,0.39554353674354775,0.13561511263449882,0.09880485914655988,0.0,0.002906038578385104,2,0,1,0,0,0,0,1,0.30931080532836913,309310.80532836914
Y2023_LAT23.53385_LON90.15483,2023,90.15483003468516,23.533846342091746,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.6275947598495484,627594.7598495483
Y2023_LAT23.53403_LON90.16461,2023,90.16461475513425,23.53402506394596,0.21210094591269077,0.0031000001481174375,0.0,0.7847990539391918,0.0,0.0,4,0,0,0,1,0,0,0,0.9987303644256592,998730.3644256592
Y2023_LAT23.5342_LON90.1744,2023,90.17439957193227,23.534203171844304,0.8933847697316989,0.04399122958816395,0.03417860957684488,0.022932696268759854,0.005512694834532462,0.0,1,1,0,0,0,0,0,0,0.9058607890701293,905860.7890701294
Y2023_LAT23.53438_LON90.18418,2023,90.18418448473497,23.53438066576062,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.016579294891357423,16579.294891357422
Y2023_LAT23.54269_LON90.14485,2023,90.14485052638558,23.542688569006817,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.21572049773406982,215720.49773406982
Y2023_LAT23.54287_LON90.15464,2023,90.15463581577698,23.542867981597322,0.07794250750346197,0.0,0.0,0.922057492496538,0.0,0.0,4,0,0,0,1,0,0,0,0.972549864227295,972549.8642272949
Y2023_LAT23.54305_LON90.16442,2023,90.16442120199689,23.543046780077745,0.8289005426111437,0.05650003804236799,0.0,0.1145994193464884,0.0,0.0,1,1,0,0,0,0,0,0,0.9987303672103882,998730.3672103882
Y2023_LAT23.54322_LON90.17421,2023,90.17420668451803,23.54322496427895,0.6870989694524852,0.02519998879915895,0.28770104174835587,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987446240844726,998744.6240844727
Y2023_LAT23.5434_LON90.18399,2023,90.18399226315104,23.543402534303326,0.6498587484861245,0.0,0.35014125151387554,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.21193544891357421,211935.44891357422
Y2023_LAT23.55153_LON90.13487,2023,90.13486968623559,23.551530015836853,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.08099400813293457,80994.00813293457
Y2023_LAT23.55171_LON90.14466,2023,90.14465554458269,23.551710119708087,0.00221411793362898,0.0,0.0,0.997785882066371,0.0,0.0,4,0,0,0,1,0,0,0,0.9021277667770385,902127.7667770386
Y2023_LAT23.55189_LON90.15444,2023,90.15444150021044,23.551889609170125,0.5053006351928332,0.10470030037666496,0.04990028336695936,0.3272987303156341,0.010200058393656614,0.0025999923542519487,1,1,0,0,0,0,0,0,0.9987160634460449,998716.0634460449
Y2023_LAT23.55207_LON90.16423,2023,90.16422755244805,23.552068484213372,0.67790014580743,0.07989969737077159,0.242000158123549,0.0,0.00019999869824960219,0.0,1,1,0,0,0,0,0,0,0.9987303698120117,998730.3698120117
Y2023_LAT23.55225_LON90.17401,2023,90.1740137011059,23.552246744855402,0.7534619692622139,0.0005540141726363791,0.24476517143964496,0.0012188451255048052,0.0,0.0,1,1,0,0,0,0,0,0,0.9013664519577026,901366.4519577026
Y2023_LAT23.55242_LON90.1838,2023,90.18379994580019,23.552424390933815,0.10054338536659817,0.0013586995638872107,0.8980979150695146,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.07350824320220947,73508.24320220947
Y2023_LAT23.55946_LON90.07596,2023,90.07595685000386,23.55945748442499,0.0,1.0,0.0,0.0,0.0,0.0,2,0,1,0,0,0,0,0,0.10395469815063477,103954.69815063477
Y2023_LAT23.55964_LON90.08574,2023,90.08574278524303,23.559641352957325,0.0,0.8591995153969075,0.0,0.0,0.0,0.14080048460309244,2,0,1,0,0,0,0,0,0.06241312474822998,62413.12474822998
Y2023_LAT23.56055_LON90.13467,2023,90.1346739410854,23.560551477377906,0.0,0.013929068549289152,0.0,0.8375824024329263,0.0,0.1484885290177846,4,0,0,0,1,0,0,0,0.38000215110778807,380002.1511077881
Y2023_LAT23.56073_LON90.14446,2023,90.14446046595044,23.560731658431777,0.28800139884002285,0.0011999916657238997,0.0,0.656998895537449,0.0,0.05379971395680436,4,0,0,0,1,0,0,0,0.9987017121124268,998701.7121124268
Y2023_LAT23.56091_LON90.15425,2023,90.15424708780246,23.56091122487003,0.8240998103548292,0.0074000049897240345,0.16850018465544678,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987160675735474,998716.0675735474
Y2023_LAT23.56109_LON90.16403,2023,90.16403380648616,23.56109017648935,0.7082001264165855,0.012299971258721884,0.2794999023246927,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987303740921021,998730.374092102
Y2023_LAT23.56127_LON90.17382,2023,90.1738206215853,23.561268513405874,0.4606998290881723,0.034699936155167616,0.5032002291244767,0.0014000056321833859,0.0,0.0,3,0,0,1,0,0,0,0,0.9987446305694581,998744.630569458
Y2023_LAT23.56145_LON90.18361,2023,90.18360753279721,23.561446235584405,0.655740903625868,0.12171498777499984,0.22171423691690867,0.00027662385181238526,0.0005532478304112555,0.0,1,1,0,0,0,0,0,0,0.7221016843185425,722101.6843185425
Y2023_LAT23.56162_LON90.19339,2023,90.193394539743,23.561623342994867,0.3213578944776546,0.3111403325492326,0.3675017729731129,0.0,0.0,0.0,3,0,0,1,0,0,0,1,0.6060551046066284,606055.1046066284
Y2023_LAT23.5618_LON90.20318,2023,90.20318164221113,23.561799835632396,0.35489962290120497,0.007969974059118258,0.6371304030396767,0.0,0.0,0.0,3,0,0,1,0,0,0,0,0.21304068893432618,213040.68893432617
Y2023_LAT23.56811_LON90.05618,2023,90.0561841032653,23.56810872663883,0.0,0.0,0.0,0.9986702202785117,0.0,0.0013297797214882397,4,0,0,0,1,0,0,0,0.07509282682037353,75092.82682037354
Y2023_LAT23.56829_LON90.06597,2023,90.0659705057738,23.56829390346477,0.0,0.047191344036386945,0.0,0.9528086559636131,0.0,0.0,4,0,0,0,1,0,0,0,0.4337858655395508,433785.8655395508
Y2023_LAT23.56848_LON90.07576,2023,90.07575700812465,23.56847846549364,0.0,0.5324405989960308,0.0,0.2346310905444203,0.0,0.23292831045954893,2,0,1,0,0,0,0,0,0.8788682603988648,878868.2603988647
Y2023_LAT23.56866_LON90.08554,2023,90.08554360972573,23.56866241285735,0.0,0.7823507467608112,0.0,0.08634033056093827,0.0,0.13130892267825053,2,0,1,0,0,0,0,0,0.9437903206634521,943790.3206634521
Y2023_LAT23.56885_LON90.09533,2023,90.09533031066343,23.568845745324147,0.0,0.6806832063085901,0.0,0.28704285818865594,0.0,0.03227393550275396,2,0,1,0,0,0,0,0,0.6126586168670655,612658.6168670654
Y2023_LAT23.56903_LON90.10512,2023,90.10511711033375,23.569028462994325,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.6346385269851684,634638.5269851685
Y2023_LAT23.56921_LON90.1149,2023,90.11490400835534,23.56921056583318,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.877021916267395,877021.916267395
Y2023_LAT23.56939_LON90.12469,2023,90.12469100463397,23.56939205383484,0.0,0.0,0.0,0.6685871850128858,0.0,0.3314128149871142,4,0,0,0,1,0,0,0,0.9181797448043824,918179.7448043823
Y2023_LAT23.56957_LON90.13448,2023,90.1344780985673,23.56957292699432,0.0,0.07599914720544042,0.0,0.04138825595726147,0.0,0.8826125968372981,6,0,0,0,0,0,1,0,0.9724219916381835,972421.9916381836
Y2023_LAT23.56975_LON90.14427,2023,90.1442652900807,23.56975318514655,0.4468017452637704,0.027899824345339736,0.0,0.3500994031276985,0.0,0.17519902726319134,1,1,0,0,0,0,0,1,0.9987017156448365,998701.7156448364
Y2023_LAT23.56993_LON90.15405,2023,90.15405257867346,23.569932828379407,0.7671993195475872,0.10130006260931051,0.13150061784310227,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0.9987160703735352,998716.0703735352
Y2023_LAT23.57011_LON90.16384,2023,90.16383996414751,23.570111856688687,0.45570010434011343,0.07950035407309358,0.4595995122943811,0.005200029292411878,0.0,0.0,3,0,0,1,0,0,0,1,0.998730376991272,998730.376991272
Y2023_LAT23.57029_LON90.17363,2023,90.1736274458886,23.570290270004396,0.3158998615495581,0.17299960480216045,0.4748004221876054,0.010600006545106158,0.025700104915569857,0.0,3,0,0,1,0,0,0,1,0.9987446329345703,998744.6329345703
Y2023_LAT23.57047_LON90.18342,2023,90.18341502396615,23.570468068336094,0.9480000635462782,0.02369990203959422,0.024700058950501497,0.000199998596127445,0.003399976867498621,0.0,1,1,0,0,0,0,0,0,0.9987588417053223,998758.8417053223
Y2023_LAT23.57065_LON90.1932,2023,90.19320269775938,23.57064525159108,0.5574990768890987,0.10050004155133824,0.3360008913172175,0.005599990501241757,0.00039999974110384334,0.0,1,1,0,0,0,0,0,0,0.9987730005722046,998773.0005722046
Y2023_LAT23.57082_LON90.20299,2023,90.2029904670772,23.570821819783017,0.08696662288025553,0.0008160414193805321,0.8788761283486967,0.02273262270974098,0.010608584641926258,0.0,3,0,0,1,0,0,0,0,0.856758760231018,856758.7602310181
Y2023_LAT23.57694_LON90.0462,2023,90.04619585909796,23.576943666385603,0.0,0.2690585379521323,0.0,0.3991025215491283,0.0,0.33183894049873947,4,0,0,0,1,0,0,1,0.13360740531921386,133607.40531921387
Y2023_LAT23.57713_LON90.05598,2023,90.05598282827117,23.577129537391478,0.0,0.4816241217865084,0.0,0.2987262173947978,0.0,0.21964966081869383,2,0,1,0,0,0,0,1,0.9319660593185425,931966.0593185425
Y2023_LAT23.57731_LON90.06577,2023,90.065769897539,23.577314793497933,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.9985851132507324,998585.1132507324
Y2023_LAT23.5775_LON90.07556,2023,90.07555706663567,23.577499434562377,0.0,0.3320004510587001,0.0,0.2219988237039572,0.0,0.4460007252373427,6,0,0,0,0,0,1,1,0.998599859550476,998599.8595504761
Y2023_LAT23.57768_LON90.08534,2023,90.08534433523448,23.5776834605988,0.0,0.34169935404862556,0.0,0.49820100107316073,0.0018999888411318157,0.15819965603708186,4,0,0,0,1,0,0,1,0.9986145565185547,998614.5565185547
Y2023_LAT23.57787_LON90.09513,2023,90.0951317028898,23.57786687159305,0.0,0.0603996955226303,0.0,0.9395003049644335,0.0,9.999951293631032e-05,4,0,0,0,1,0,0,0,0.9986292078323364,998629.2078323364
Y2023_LAT23.57805_LON90.10492,2023,90.10491916941976,23.578049667496614,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.9986438070220948,998643.8070220947
Y2023_LAT23.57823_LON90.11471,2023,90.11470673447899,23.57823184828701,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,0,1,0,0,0,0.9986583585891724,998658.3585891724
