variable,missing,mean,std,min,max
LST_C,0,31.031170081918795,3.583822395457489,24.00536726155323,36.08878780908205
Blue,0,0.07046187140252905,0.07333924334329114,0.03222818510081651,0.33586951536608917
Green,0,0.08097639608081683,0.056548434838600725,0.040662694769133464,0.2738779276446434
LST_C,0,31.031170081918795,3.583822395457489,24.00536726155323,36.08878780908205
MNDWI,0,-0.2685536244184814,0.2808606687449416,-0.5864044347650788,0.0870246279935183
NDBI,0,-0.025763149419274392,0.43867378563902215,-0.5691902855634547,0.46757122016795644
NDMI,0,-0.1667395880842396,0.4027557184142461,-0.6450719623436815,0.29370466885970076
NDVI,0,0.1878366747289324,0.30864476262141016,-0.16026896789436723,0.6683607889441116
NDWI,0,-0.30775013367935017,0.1535731290428917,-0.6111415260795435,-0.15707554551337574
NIR,0,0.17191845597473646,0.11492150590454075,0.06039084014141101,0.41191584753061894
Red,0,0.09765897786322456,0.0660639182752224,0.05265870074674296,0.34130829290243453
SUHI,0,0.6165612530749163,1.498538822887233,-3.258462642077493,3.157642981004443
SWIR1,0,0.2177625633492732,0.053399977966942805,0.15402154254199782,0.3001811235983597
SWIR2,0,0.13661273534561735,0.03649878524848521,0.08196639597018122,0.1799669488112612
aspect,0,163.47008479290793,10.568170956536342,153.23749726427337,173.70267232154245
built_density,0,0.4743829435032667,0.4852282128158748,0.0,0.9963937420644691
dist_water,0,968246302.8448944,2079023418.454153,83887.64691390554,5158650956.993657
elevation,0,10.441799694789534,1.367654370619342,9.11757404459541,11.766025344983658
first,0,10.0,0.0,10.0,10.0
reference_lst,0,30.41460882884388,3.507544527196671,23.54603455733554,33.46337853311389
slope,0,2.6825738831434274,0.2574684107623677,2.433281166379142,2.9318665999077127
