grid_id,year,longitude,latitude,scene_count,lst_c,lst_c_median,lst_c_stddev,lst_c_min,lst_c_max,ndvi,mean_pixel_obs_count,valid_lst_ratio
Y2018_LAT23.52482_LON90.15502,2018,90.15502415698468,23.524824690620612,14,26.567002512481263,26.69064062000001,1.6706056805802671,24.00407690000003,31.181918900000028,-0.03145929988726901,2.2623853211009184,0.08547861608766023
Y2018_LAT23.525_LON90.16481,2018,90.16480821194499,23.52500333582075,14,31.100460198517837,31.288683848160264,2.3703203607561267,25.954057309999996,37.27283054000003,0.27838716873521413,2.183096832607446,0.46330932129838603
Y2018_LAT23.52518_LON90.17459,2018,90.17459236327528,23.5251813673849,14,32.049883845476835,32.16972668000001,0.889320781776847,28.26634783999998,34.34529641000003,0.5580868731422313,3.043053317452537,0.3098907540827002
Y2018_LAT23.53385_LON90.15483,2018,90.15483003468516,23.533846342091746,14,32.964216262839706,33.21022893500001,2.47286112010625,27.396461750000014,39.26895422000001,0.07048068760485493,3.4251581246277345,0.6337949680379062
Y2018_LAT23.53403_LON90.16461,2018,90.16461475513425,23.53402506394596,14,32.61913120847615,32.472354966406265,1.4494356317026382,28.71239945000002,37.17712598000003,0.3863819759833646,2.8312015585955614,1.0
Y2018_LAT23.5342_LON90.1744,2018,90.17439957193227,23.534203171844304,14,31.898979105531634,31.893570770000025,0.9648138938860091,29.460945830000014,35.040863479999985,0.5935927947463079,2.8480732007742424,0.9161597489413807
Y2018_LAT23.53438_LON90.18418,2018,90.18418448473497,23.53438066576062,14,33.54418216987749,33.629221220000005,0.34446786072802,32.455131350000016,33.965896189999995,0.5983352112423841,2.0,0.015633036895669743
Y2018_LAT23.54269_LON90.14485,2018,90.14485052638558,23.542688569006817,14,27.710357922514003,27.461168404482777,0.6342548503901285,27.220433720000017,29.406257510000017,-0.1040926337569245,1.90248896497323,0.21454342503240686
Y2018_LAT23.54287_LON90.15464,2018,90.15463581577698,23.542867981597322,14,32.46433997833345,33.281315612857156,3.8349298050580662,26.817107360000023,40.85833352000003,0.09360800457175128,2.053121935272965,0.9769764157304168
Y2018_LAT23.54305_LON90.16442,2018,90.16442120199689,23.543046780077745,14,32.69330484120848,32.547246989000016,1.2117229564642171,29.876235260000044,36.57384545000002,0.54904282243546,3.3134015451782894,1.0
