grid_id,year,longitude,latitude,scene_count,lst_c,lst_c_median,lst_c_stddev,lst_c_min,lst_c_max,ndvi,mean_pixel_obs_count,valid_lst_ratio
Y2024_LAT23.52482_LON90.15502,2024,90.15502415698468,23.524824690620612,20,26.0821237346731,26.06856098000003,0.1153617394200875,25.962602360000005,26.78463617,-0.08844651696338221,6.0,0.08547861608766023
Y2024_LAT23.525_LON90.16481,2024,90.16480821194499,23.52500333582075,20,26.632324892326427,26.26284601095752,0.9313189194861625,25.1832938,30.682887980000032,-0.09176536851705008,5.582330351707028,0.46330932129838603
Y2024_LAT23.52518_LON90.17459,2024,90.17459236327528,23.5251813673849,20,34.80839790823488,35.14477128800002,1.9719513907768917,28.847411240000042,39.70646078000004,0.39116678345428785,5.29251033419744,0.3098907540827002
Y2024_LAT23.53385_LON90.15483,2024,90.15483003468516,23.533846342091746,20,26.550925356439325,26.64651708909093,0.41507578247163646,25.190129840000054,27.76218989000003,-0.09224525590541847,5.860328445415106,0.6337949680379062
Y2024_LAT23.53403_LON90.16461,2024,90.16461475513425,23.53402506394596,20,29.03906484206808,27.222118993750023,3.178471048538352,25.337104700000054,37.214724200000006,0.01590968244999801,4.837801589654527,1.0
Y2024_LAT23.5342_LON90.1744,2024,90.17439957193227,23.534203171844304,20,33.29040079706462,32.9652558156526,1.4027629827515795,30.662379859999987,39.70646078000004,0.4951056476552203,6.195022190939858,0.9161597489413807
Y2024_LAT23.53438_LON90.18418,2024,90.18418448473497,23.53438066576062,20,34.06915886320629,34.11116204000001,0.1887710709247224,33.755687960000046,34.52132444000006,0.4825597844995933,6.839573405945089,0.015633036895669743
Y2024_LAT23.54269_LON90.14485,2024,90.14485052638558,23.542688569006817,20,25.30869620564174,25.291591824026106,0.1583483363355377,25.08417122000003,26.22920792000002,-0.07445480354601562,5.142272124599298,0.21454342503240686
Y2024_LAT23.54287_LON90.15464,2024,90.15463581577698,23.542867981597322,20,27.034330352556065,26.33825378387098,2.0682850009425646,25.190129840000054,33.88557272000003,-0.045931190255538004,4.798699647669898,0.9769764157304168
Y2024_LAT23.54305_LON90.16442,2024,90.16442120199689,23.543046780077745,20,32.845895084406436,32.97196445750003,1.8957577701615387,26.049761869999998,36.3943994,0.4594744602709499,5.3870992789403305,1.0
Y2024_LAT23.54322_LON90.17421,2024,90.17420668451803,23.54322496427895,20,33.33198403289359,33.28144878246754,1.3406210363590112,30.55300322000005,38.53749793999998,0.5334972718268364,5.534895458331568,1.0
Y2024_LAT23.5434_LON90.18399,2024,90.18399226315104,23.543402534303326,20,32.86510453222873,32.88580187000002,0.6734245711554192,31.376746040000057,34.69906148000001,0.5908885218060734,5.298787474560904,0.20954459447836943
Y2024_LAT23.55153_LON90.13487,2024,90.13486968623559,23.551530015836853,20,26.809153503275382,26.96434514461541,0.40353609484042535,25.98994651999999,27.194798570000017,-0.14590041138973642,5.009739965570357,0.0787980038124613
Y2024_LAT23.55171_LON90.14466,2024,90.14465554458269,23.551710119708087,20,26.391557032215346,26.21935598000002,1.037403432453485,25.026064880000035,34.52816048,-0.12027532991651482,4.095655417476486,0.9098167398992635
Y2024_LAT23.55189_LON90.15444,2024,90.15444150021044,23.551889609170125,20,31.870274238895107,33.029898397368434,3.0314738643365375,25.504587679999986,36.25426058000005,0.3175779869442307,4.464199369646333,1.0
